,Indicator,Country,Date,value
62,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-26,4.0
63,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-25,3155.0
64,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-25,9238.0
65,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-25,11301.0
66,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-25,1.0
67,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-25,8.0
68,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-25,20.0
69,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-25,1.0
70,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-25,1.0
71,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-25,4.0
72,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-23,3155.0
73,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-23,9229.0
74,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-23,11155.0
75,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-23,1.0
76,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-23,8.0
77,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-23,20.0
78,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-23,1.0
79,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-23,1.0
80,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-23,4.0
81,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-20,3120.0
82,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-20,9096.0
83,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-20,11155.0
84,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-20,1.0
85,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-20,8.0
86,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-20,20.0
87,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-20,1.0
88,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-20,1.0
89,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-20,4.0
90,"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-19,3115.0
91,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-19,9096.0
92,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-19,11155.0
93,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-19,1.0
94,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-19,8.0
