,Indicator,Country,Date,value
71,Cumulative number of confirmed Ebola deaths,Guinea,2015-03-06,1755.0
72,Cumulative number of probable Ebola deaths,Guinea,2015-03-06,392.0
73,"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-06,9249.0
74,Cumulative number of confirmed Ebola cases,Liberia,2015-03-06,3150.0
75,Cumulative number of probable Ebola cases,Liberia,2015-03-06,1877.0
76,Cumulative number of suspected Ebola cases,Liberia,2015-03-06,4222.0
77,"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-06,4117.0
78,"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-06,11517.0
79,Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-06,8389.0
80,Cumulative number of probable Ebola cases,Sierra Leone,2015-03-06,287.0
81,Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-06,2841.0
82,"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-06,3576.0
83,Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-06,3210.0
84,Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-06,208.0
85,Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-06,158.0
86,"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-06,1.0
87,Cumulative number of confirmed Ebola cases,Mali,2015-03-06,7.0
88,Cumulative number of probable Ebola cases,Mali,2015-03-06,1.0
89,Cumulative number of suspected Ebola cases,Mali,2015-03-06,0.0
90,"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-06,6.0
91,"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-06,8.0
92,Cumulative number of confirmed Ebola cases,Nigeria,2015-03-06,19.0
93,Cumulative number of probable Ebola cases,Nigeria,2015-03-06,1.0
94,Cumulative number of suspected Ebola cases,Nigeria,2015-03-06,0.0
95,"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-06,20.0
96,Cumulative number of confirmed Ebola cases,Senegal,2015-03-06,1.0
97,Cumulative number of probable Ebola cases,Senegal,2015-03-06,0.0
98,Cumulative number of suspected Ebola cases,Senegal,2015-03-06,0.0
99,"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1.0
100,Cumulative number of confirmed Ebola cases,Spain,2015-03-06,1.0
101,Cumulative number of probable Ebola cases,Spain,2015-03-06,0.0
102,Cumulative number of suspected Ebola cases,Spain,2015-03-06,0.0
103,"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-06,1.0
104,Cumulative number of confirmed Ebola cases,United States of America,2015-03-06,4.0
105,Cumulative number of probable Ebola cases,United States of America,2015-03-06,0.0
106,Cumulative number of suspected Ebola cases,United States of America,2015-03-06,0.0
107,"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-06,4.0
108,Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-06,7.0
109,Cumulative number of probable Ebola deaths,Nigeria,2015-03-06,1.0
110,Cumulative number of suspected Ebola deaths,Nigeria,2015-03-06,0.0
111,"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-06,8.0
112,Cumulative number of confirmed Ebola deaths,Senegal,2015-03-06,0.0
113,Cumulative number of probable Ebola deaths,Senegal,2015-03-06,0.0
114,Cumulative number of suspected Ebola deaths,Senegal,2015-03-06,0.0
115,"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-06,0.0
116,Cumulative number of confirmed Ebola deaths,Spain,2015-03-06,0.0
117,Cumulative number of probable Ebola deaths,Spain,2015-03-06,0.0
118,Cumulative number of suspected Ebola deaths,Spain,2015-03-06,0.0
119,"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-06,0.0
120,Cumulative number of confirmed Ebola deaths,United States of America,2015-03-06,1.0
121,Cumulative number of probable Ebola deaths,United States of America,2015-03-06,0.0
122,Cumulative number of suspected Ebola deaths,United States of America,2015-03-06,0.0
